timestamp_utc,gpu_index,gpu_name,util_gpu_pct,util_mem_pct,mem_used_mb,mem_total_mb,temp_c,power_w,sm_clock_mhz,mem_clock_mhz,cpu_util_pct,ram_used_mb,ram_total_mb,load_1m,load_5m,load_15m
2026-04-15T05:01:05Z,0,NVIDIA GeForce RTX 3090,0,0,1,24576,26,30.75,210,405,21.4,46476,257548,11.06,27.24,27.70
2026-04-15T05:01:21Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,56,329.35,1830,9501,26.1,48950,257548,9.04,26.00,27.29
2026-04-15T05:01:36Z,0,NVIDIA GeForce RTX 3090,100,78,16414,24576,59,309.68,1770,9501,21.5,49111,257548,7.33,24.79,26.87
2026-04-15T05:01:51Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,63,310.23,1755,9501,21.4,49537,257548,6.37,23.72,26.49
2026-04-15T05:02:07Z,0,NVIDIA GeForce RTX 3090,99,74,16414,24576,65,309.36,1770,9501,23.1,49297,257548,4.85,22.25,25.94
2026-04-15T05:02:22Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,68,309.15,1755,9501,36.2,49554,257548,8.40,22.25,25.89
2026-04-15T05:02:37Z,0,NVIDIA GeForce RTX 3090,100,77,16414,24576,69,309.01,1740,9501,21.6,49697,257548,6.83,21.23,25.50
2026-04-15T05:02:52Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,68,309.29,1740,9501,23.2,47976,257548,5.54,20.24,25.10
2026-04-15T05:03:08Z,0,NVIDIA GeForce RTX 3090,99,75,16414,24576,68,309.04,1740,9501,25.4,48437,257548,8.87,20.32,25.06
2026-04-15T05:03:23Z,0,NVIDIA GeForce RTX 3090,100,77,16414,24576,67,309.22,1755,9501,24.5,48341,257548,7.12,19.37,24.67
2026-04-15T05:03:38Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,66,309.09,1755,9501,21.6,48700,257548,5.83,18.49,24.29
2026-04-15T05:03:54Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,66,309.15,1770,9501,21.4,48441,257548,4.76,17.63,23.92
2026-04-15T05:04:09Z,0,NVIDIA GeForce RTX 3090,100,77,16414,24576,66,305.34,1755,9501,26.4,48827,257548,3.93,16.82,23.55
2026-04-15T05:04:24Z,0,NVIDIA GeForce RTX 3090,100,79,16414,24576,66,308.93,1770,9501,21.5,48640,257548,13.12,18.15,23.88
2026-04-15T05:04:40Z,0,NVIDIA GeForce RTX 3090,100,77,16414,24576,67,308.68,1755,9501,24.6,49071,257548,20.04,19.43,24.20
2026-04-15T05:04:55Z,0,NVIDIA GeForce RTX 3090,100,78,16414,24576,67,308.50,1740,9501,24.7,48792,257548,30.00,21.66,24.86
2026-04-15T05:05:10Z,0,NVIDIA GeForce RTX 3090,99,73,16414,24576,67,309.10,1710,9501,21.4,49255,257548,37.75,23.79,25.50
2026-04-15T05:05:26Z,0,NVIDIA GeForce RTX 3090,100,78,16414,24576,67,306.52,1755,9501,24.8,49000,257548,39.22,24.79,25.81
2026-04-15T05:05:41Z,0,NVIDIA GeForce RTX 3090,100,79,16414,24576,67,309.15,1755,9501,21.2,49759,257548,45.07,26.80,26.44
2026-04-15T05:05:56Z,0,NVIDIA GeForce RTX 3090,100,78,16414,24576,67,309.12,1770,9501,21.4,49579,257548,49.48,28.67,27.06
2026-04-15T05:06:11Z,0,NVIDIA GeForce RTX 3090,100,79,16414,24576,67,309.09,1770,9501,21.3,50066,257548,52.92,30.45,27.67
2026-04-15T05:06:27Z,0,NVIDIA GeForce RTX 3090,100,78,16414,24576,67,309.37,1770,9501,26.1,50974,257548,56.43,32.70,28.47
2026-04-15T05:06:42Z,0,NVIDIA GeForce RTX 3090,91,61,16414,24576,67,306.04,1830,9501,21.3,50276,257548,58.33,34.29,29.06
2026-04-15T05:06:57Z,0,NVIDIA GeForce RTX 3090,100,74,16414,24576,67,311.25,1740,9501,21.6,52731,257548,64.59,36.85,29.98
2026-04-15T05:07:13Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,67,308.83,1740,9501,21.5,53387,257548,64.68,38.23,30.55
2026-04-15T05:07:28Z,0,NVIDIA GeForce RTX 3090,100,78,16414,24576,67,308.69,1770,9501,30.8,53630,257548,60.78,38.60,30.79
2026-04-15T05:07:43Z,0,NVIDIA GeForce RTX 3090,100,78,16414,24576,67,309.33,1755,9501,21.2,53640,257548,59.55,39.43,31.19
2026-04-15T05:07:58Z,0,NVIDIA GeForce RTX 3090,100,79,16414,24576,67,308.75,1755,9501,12.6,56885,257548,57.31,39.96,31.49
2026-04-15T05:08:14Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,67,309.20,1740,9501,23.7,56945,257548,54.04,40.15,31.70
2026-04-15T05:08:29Z,0,NVIDIA GeForce RTX 3090,100,78,16414,24576,66,307.57,1755,9501,36,56881,257548,47.17,39.31,31.56
2026-04-15T05:08:44Z,0,NVIDIA GeForce RTX 3090,95,72,16414,24576,66,305.20,1770,9501,25.6,57389,257548,41.80,38.51,31.42
2026-04-15T05:09:00Z,0,NVIDIA GeForce RTX 3090,100,79,16414,24576,66,308.74,1770,9501,22.3,57028,257548,32.91,36.71,30.94
2026-04-15T05:09:15Z,0,NVIDIA GeForce RTX 3090,100,77,16414,24576,67,309.26,1770,9501,21.5,57513,257548,30.33,36.02,30.81
2026-04-15T05:09:30Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,64,268.05,1650,9501,41.7,57346,257548,34.32,36.48,31.04
2026-04-15T05:09:45Z,0,NVIDIA GeForce RTX 3090,100,71,16414,24576,64,269.04,1590,9501,22.5,57797,257548,31.43,35.80,30.91
2026-04-15T05:10:01Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,65,269.65,1635,9501,25.4,57472,257548,24.69,34.10,30.43
2026-04-15T05:10:16Z,0,NVIDIA GeForce RTX 3090,100,71,16414,24576,66,268.56,1575,9501,23.6,58030,257548,24.45,33.58,30.32
2026-04-15T05:10:31Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,67,269.80,1650,9501,22,57633,257548,19.48,32.04,29.86
2026-04-15T05:10:47Z,0,NVIDIA GeForce RTX 3090,100,72,16414,24576,67,268.79,1620,9501,21.4,58029,257548,15.53,30.55,29.41
2026-04-15T05:11:02Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,68,269.49,1635,9501,29.1,57868,257548,11.93,28.75,28.84
2026-04-15T05:11:17Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,68,267.94,1635,9501,29,58683,257548,9.73,27.44,28.41
2026-04-15T05:11:32Z,0,NVIDIA GeForce RTX 3090,100,71,16414,24576,68,271.82,1605,9501,23.1,58416,257548,7.95,26.17,27.98
2026-04-15T05:11:48Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,67,272.38,1635,9501,21.4,58874,257548,6.55,24.97,27.56
2026-04-15T05:12:03Z,0,NVIDIA GeForce RTX 3090,96,70,16414,24576,67,274.24,1635,9501,22.3,59127,257548,5.40,23.81,27.14
2026-04-15T05:12:18Z,0,NVIDIA GeForce RTX 3090,100,73,16414,24576,67,275.27,1650,9501,21.1,59281,257548,4.49,22.71,26.72
2026-04-15T05:12:34Z,0,NVIDIA GeForce RTX 3090,100,72,16414,24576,66,275.71,1650,9501,26.5,59270,257548,4.01,21.71,26.33
2026-04-15T05:12:49Z,0,NVIDIA GeForce RTX 3090,100,73,16414,24576,67,278.00,1650,9501,26.4,59463,257548,17.60,23.85,26.96
2026-04-15T05:13:04Z,0,NVIDIA GeForce RTX 3090,100,73,16414,24576,67,280.54,1680,9501,25.5,59532,257548,28.10,25.87,27.57
2026-04-15T05:13:19Z,0,NVIDIA GeForce RTX 3090,100,72,16414,24576,67,281.07,1665,9501,23.8,59366,257548,36.43,27.82,28.18
2026-04-15T05:13:35Z,0,NVIDIA GeForce RTX 3090,100,72,16414,24576,67,283.61,1665,9501,23,59738,257548,42.90,29.67,28.78
2026-04-15T05:13:50Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,67,284.44,1665,9501,24.2,59547,257548,46.61,31.15,29.28
2026-04-15T05:14:05Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,67,286.47,1665,9501,23.3,59947,257548,50.74,32.83,29.86
2026-04-15T05:14:21Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,67,287.36,1680,9501,35.5,59745,257548,53.97,34.42,30.43
2026-04-15T05:14:36Z,0,NVIDIA GeForce RTX 3090,99,74,16414,24576,67,289.27,1680,9501,21.4,60058,257548,60.16,36.83,31.29
2026-04-15T05:14:51Z,0,NVIDIA GeForce RTX 3090,100,74,16414,24576,67,291.20,1680,9501,22,60220,257548,61.39,38.24,31.84
2026-04-15T05:15:06Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,67,292.38,1695,9501,21.4,60226,257548,58.06,38.58,32.05
2026-04-15T05:15:22Z,0,NVIDIA GeForce RTX 3090,99,75,16414,24576,67,293.90,1680,9501,22.2,60514,257548,59.82,40.23,32.73
2026-04-15T05:15:37Z,0,NVIDIA GeForce RTX 3090,0,0,16414,24576,54,111.27,1710,9501,43.6,60545,257548,61.25,41.51,33.27
2026-04-15T05:15:52Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,68,297.02,1710,9501,21.4,60789,257548,61.25,42.49,33.72
2026-04-15T05:16:08Z,0,NVIDIA GeForce RTX 3090,99,76,16414,24576,69,298.21,1710,9501,22.1,60736,257548,53.20,41.67,33.60
2026-04-15T05:16:23Z,0,NVIDIA GeForce RTX 3090,99,75,16414,24576,68,299.33,1710,9501,5.4,60984,257548,45.28,40.51,33.35
2026-04-15T05:16:38Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,67,299.93,1710,9501,21.4,60896,257548,35.68,38.62,32.84
2026-04-15T05:16:54Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,66,302.68,1725,9501,24.1,60769,257548,32.87,37.85,32.68
2026-04-15T05:17:09Z,0,NVIDIA GeForce RTX 3090,100,75,16414,24576,66,303.48,1725,9501,22.2,61139,257548,25.89,36.06,32.18
2026-04-15T05:17:24Z,0,NVIDIA GeForce RTX 3090,100,76,16414,24576,66,305.30,1740,9501,21.4,54940,257548,20.73,34.43,31.71
