timestamp_utc,gpu_index,gpu_name,util_gpu_pct,util_mem_pct,mem_used_mb,mem_total_mb,temp_c,power_w,sm_clock_mhz,mem_clock_mhz,cpu_util_pct,ram_used_mb,ram_total_mb,load_1m,load_5m,load_15m
2026-04-15T05:54:04Z,0,NVIDIA GeForce RTX 3090,0,0,1,24576,39,31.03,210,405,22.9,56254,257548,2.23,18.88,26.37
2026-04-15T05:54:19Z,0,NVIDIA GeForce RTX 3090,100,76,15708,24576,65,326.76,1800,9501,26.5,58638,257548,7.24,19.10,26.32
2026-04-15T05:54:34Z,0,NVIDIA GeForce RTX 3090,100,72,15708,24576,67,309.16,1890,9501,22.2,58904,257548,15.46,20.41,26.63
2026-04-15T05:54:49Z,0,NVIDIA GeForce RTX 3090,100,73,15708,24576,69,309.61,1725,9501,22.4,58951,257548,26.50,22.61,27.25
2026-04-15T05:55:05Z,0,NVIDIA GeForce RTX 3090,100,73,15708,24576,69,309.29,1740,9501,21.6,59211,257548,30.84,23.69,27.53
2026-04-15T05:55:20Z,0,NVIDIA GeForce RTX 3090,99,77,15708,24576,68,309.04,1725,9501,22.1,59379,257548,38.49,25.73,28.13
2026-04-15T05:55:35Z,0,NVIDIA GeForce RTX 3090,99,75,15708,24576,67,308.65,1755,9501,21.3,58125,257548,44.81,27.75,28.76
2026-04-15T05:55:51Z,0,NVIDIA GeForce RTX 3090,99,75,15708,24576,67,308.66,1755,9501,21.3,58069,257548,44.42,28.51,28.99
2026-04-15T05:56:06Z,0,NVIDIA GeForce RTX 3090,99,76,15708,24576,66,309.19,1755,9501,21.5,58092,257548,49.14,30.33,29.58
2026-04-15T05:56:21Z,0,NVIDIA GeForce RTX 3090,97,75,15708,24576,66,308.89,1755,9501,22.2,58342,257548,52.73,32.05,30.15
2026-04-15T05:56:36Z,0,NVIDIA GeForce RTX 3090,99,76,15708,24576,66,309.10,1770,9501,22.4,58506,257548,55.74,33.73,30.73
2026-04-15T05:56:52Z,0,NVIDIA GeForce RTX 3090,99,76,15708,24576,66,309.22,1770,9501,28.9,58797,257548,52.98,34.26,30.96
