timestamp_utc,gpu_index,gpu_name,util_gpu_pct,util_mem_pct,mem_used_mb,mem_total_mb,temp_c,power_w,sm_clock_mhz,mem_clock_mhz,cpu_util_pct,ram_used_mb,ram_total_mb,load_1m,load_5m,load_15m
2026-04-15T14:27:58Z,0,NVIDIA GeForce RTX 4090,0,0,0,24564,31,24.83,210,405,100,64432,1031831,286.13,285.27,289.67
2026-04-15T14:27:58Z,1,NVIDIA GeForce RTX 4090,0,0,0,24564,33,14.25,210,405,100,64432,1031831,286.13,285.27,289.67
2026-04-15T14:27:58Z,2,NVIDIA GeForce RTX 4090,0,0,0,24564,30,12.91,210,405,100,64432,1031831,286.13,285.27,289.67
2026-04-15T14:27:58Z,3,NVIDIA GeForce RTX 4090,0,0,0,24564,27,16.51,210,405,100,64432,1031831,286.13,285.27,289.67
2026-04-15T14:28:14Z,0,NVIDIA GeForce RTX 4090,0,0,597,24564,32,68.24,2550,10251,100,69846,1031831,280.94,284.16,289.24
2026-04-15T14:28:14Z,1,NVIDIA GeForce RTX 4090,0,0,597,24564,34,56.28,2520,10251,100,69846,1031831,280.94,284.16,289.24
2026-04-15T14:28:14Z,2,NVIDIA GeForce RTX 4090,0,0,597,24564,32,62.26,2805,10251,100,69846,1031831,280.94,284.16,289.24
2026-04-15T14:28:14Z,3,NVIDIA GeForce RTX 4090,0,0,597,24564,29,58.33,2520,10251,100,69846,1031831,280.94,284.16,289.24
2026-04-15T14:28:30Z,0,NVIDIA GeForce RTX 4090,98,98,15595,24564,49,346.76,2835,10251,100,75143,1031831,277.78,283.30,288.87
2026-04-15T14:28:30Z,1,NVIDIA GeForce RTX 4090,98,98,15659,24564,56,327.09,2715,10251,100,75143,1031831,277.78,283.30,288.87
2026-04-15T14:28:30Z,2,NVIDIA GeForce RTX 4090,99,98,15659,24564,51,329.96,2790,10251,100,75143,1031831,277.78,283.30,288.87
2026-04-15T14:28:30Z,3,NVIDIA GeForce RTX 4090,100,85,15659,24564,41,325.01,2745,10251,100,75143,1031831,277.78,283.30,288.87
2026-04-15T14:28:46Z,0,NVIDIA GeForce RTX 4090,99,100,15595,24564,56,364.81,2820,10251,2.5,74964,1031831,289.31,286.03,289.68
2026-04-15T14:28:46Z,1,NVIDIA GeForce RTX 4090,99,100,15659,24564,63,342.83,2700,10251,2.5,74964,1031831,289.31,286.03,289.68
2026-04-15T14:28:46Z,2,NVIDIA GeForce RTX 4090,99,100,15659,24564,58,347.84,2775,10251,2.5,74964,1031831,289.31,286.03,289.68
2026-04-15T14:28:46Z,3,NVIDIA GeForce RTX 4090,99,100,15659,24564,52,341.87,2730,10251,2.5,74964,1031831,289.31,286.03,289.68
2026-04-15T14:29:01Z,0,NVIDIA GeForce RTX 4090,94,95,15595,24564,60,352.53,2820,10251,100,70204,1031831,283.79,284.97,289.27
2026-04-15T14:29:01Z,1,NVIDIA GeForce RTX 4090,95,96,15659,24564,66,337.90,2700,10251,100,70204,1031831,283.79,284.97,289.27
2026-04-15T14:29:01Z,2,NVIDIA GeForce RTX 4090,100,100,15659,24564,63,341.38,2775,10251,100,70204,1031831,283.79,284.97,289.27
2026-04-15T14:29:01Z,3,NVIDIA GeForce RTX 4090,100,100,15659,24564,57,335.05,2730,10251,100,70204,1031831,283.79,284.97,289.27
2026-04-15T14:29:17Z,0,NVIDIA GeForce RTX 4090,100,59,15595,24564,63,348.51,2805,10251,100,71187,1031831,279.42,283.94,288.86
2026-04-15T14:29:17Z,1,NVIDIA GeForce RTX 4090,99,70,15659,24564,69,333.58,2700,10251,100,71187,1031831,279.42,283.94,288.86
2026-04-15T14:29:17Z,2,NVIDIA GeForce RTX 4090,96,93,15659,24564,66,339.72,2760,10251,100,71187,1031831,279.42,283.94,288.86
2026-04-15T14:29:17Z,3,NVIDIA GeForce RTX 4090,97,97,15659,24564,59,331.26,2715,10251,100,71187,1031831,279.42,283.94,288.86
2026-04-15T14:29:33Z,0,NVIDIA GeForce RTX 4090,100,88,15595,24564,64,358.19,2805,10251,100,70438,1031831,311.78,291.15,291.16
2026-04-15T14:29:33Z,1,NVIDIA GeForce RTX 4090,100,87,15659,24564,70,341.39,2700,10251,100,70438,1031831,311.78,291.15,291.16
2026-04-15T14:29:33Z,2,NVIDIA GeForce RTX 4090,98,71,15659,24564,66,341.39,2760,10251,100,70438,1031831,311.78,291.15,291.16
2026-04-15T14:29:33Z,3,NVIDIA GeForce RTX 4090,98,72,15659,24564,61,330.90,2715,10251,100,70438,1031831,311.78,291.15,291.16
2026-04-15T14:29:48Z,0,NVIDIA GeForce RTX 4090,99,95,15595,24564,68,362.85,2805,10251,100,72400,1031831,301.04,289.79,290.71
2026-04-15T14:29:48Z,1,NVIDIA GeForce RTX 4090,97,92,15659,24564,72,342.97,2685,10251,100,72400,1031831,301.04,289.79,290.71
2026-04-15T14:29:48Z,2,NVIDIA GeForce RTX 4090,100,88,15659,24564,69,348.54,2760,10251,100,72400,1031831,301.04,289.79,290.71
2026-04-15T14:29:48Z,3,NVIDIA GeForce RTX 4090,100,85,15659,24564,63,337.74,2715,10251,100,72400,1031831,301.04,289.79,290.71
2026-04-15T14:30:04Z,0,NVIDIA GeForce RTX 4090,98,97,15595,24564,68,365.91,2805,10251,100,74955,1031831,313.34,292.78,291.66
2026-04-15T14:30:04Z,1,NVIDIA GeForce RTX 4090,97,95,15659,24564,73,345.10,2685,10251,100,74955,1031831,313.34,292.78,291.66
2026-04-15T14:30:04Z,2,NVIDIA GeForce RTX 4090,99,98,15659,24564,71,352.34,2760,10251,100,74955,1031831,313.34,292.78,291.66
2026-04-15T14:30:04Z,3,NVIDIA GeForce RTX 4090,98,98,15659,24564,64,338.44,2715,10251,100,74955,1031831,313.34,292.78,291.66
